시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201701,31,6000,2,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201703,29,5000,5,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201703,30,5000,1,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201705,22,5000,2,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201706,13,4500,2,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201707,10,5600,1,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201711,26,4500,5,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201711,27,5000,1,1978,대전로 1247
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,72.675,201701,4,8500,4,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,63.075,201702,12,7350,4,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,71.96,201702,22,8800,3,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,72.675,201703,14,10300,2,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,71.96,201703,24,9900,3,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,71.96,201704,22,8450,4,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,72.675,201706,19,8800,1,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,47.85,201707,1,5500,1,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,72.675,201708,22,8000,1,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,71.96,201712,6,9950,3,1985,대화로 19
대전광역시 대덕구 대화동,40-67,40,67,대화,49,201703,11,5100,2,1979,대화로 53
대전광역시 대덕구 대화동,40-67,40,67,대화,49,201708,7,4700,1,1979,대화로 53
대전광역시 대덕구 대화동,40-67,40,67,대화,49,201708,14,3500,1,1979,대화로 53
대전광역시 대덕구 대화동,40-67,40,67,대화,49,201712,30,4500,2,1979,대화로 53
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201702,8,6650,4,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201703,6,7750,11,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201703,13,6500,2,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201703,13,6600,2,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201704,6,7000,4,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201705,4,7100,3,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201705,25,7800,13,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201707,14,6800,14,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201708,8,6300,2,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201709,28,6550,10,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201710,29,7300,11,2001,대화1길 77
