시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201801,27,5000,1,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,73.55,201803,30,6700,2,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201804,11,5500,4,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201805,14,4850,4,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,73.55,201807,6,7800,1,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201807,9,5800,3,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201807,16,4800,4,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201810,1,6300,2,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201810,2,5400,4,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201810,12,4500,5,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201811,20,5500,1,1978,대전로 1247
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,71.9,201802,25,9000,3,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,72.675,201809,5,8000,2,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,62.085,201810,22,6500,1,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,71.96,201812,8,8800,4,1985,대화로 19
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201801,23,7200,12,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201802,19,7800,3,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201803,21,7800,4,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201803,29,7000,4,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201804,3,7500,4,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201804,4,8100,8,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3665,201804,6,6500,12,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201804,10,6200,13,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201805,15,6500,9,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201805,17,7200,13,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201805,22,7800,10,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201806,18,6150,14,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201806,25,6600,14,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201806,28,6500,1,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201806,28,6700,1,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201806,29,6450,9,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201806,30,6500,7,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201807,12,6400,9,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201807,13,6500,12,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201807,30,6860,2,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201807,30,6860,4,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201808,3,6180,1,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201809,30,7000,5,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201810,6,7600,7,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201812,19,6550,5,2001,대화1길 77
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201801,15,7800,5,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,68.85,201802,7,9200,3,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,54.18,201803,1,5750,5,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,64.68,201804,7,8700,1,1987,대화10길 72
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.82,201804,23,11200,2,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.82,201806,7,9000,4,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,53.82,201809,26,7800,2,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201810,17,8300,1,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201810,30,9400,1,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.82,201812,10,11000,2,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.82,201812,20,11000,4,1987,대화11길 11
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201805,30,6800,4,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201807,30,7500,2,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201808,30,6500,5,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201812,5,5500,3,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201812,22,8200,2,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201812,25,7400,2,1990,동심1길 103
대전광역시 대덕구 대화동,16-163,16,163,신대화,56.24,201801,13,5550,2,1983,대전로 1255
대전광역시 대덕구 대화동,16-163,16,163,신대화,56.24,201801,30,4550,5,1983,대전로 1255
대전광역시 대덕구 대화동,16-163,16,163,신대화,56.24,201806,4,6450,1,1983,대전로 1255
대전광역시 대덕구 대화동,16-163,16,163,신대화,56.24,201810,17,5200,4,1983,대전로 1255
대전광역시 대덕구 대화동,16-163,16,163,신대화,56.24,201810,17,5900,1,1983,대전로 1255
대전광역시 대덕구 대화동,16-163,16,163,신대화,55.34,201811,29,6000,3,1983,대전로 1255
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201801,13,7450,2,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201803,11,7300,4,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,54.54,201805,12,4900,1,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201810,30,8600,1,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,54.54,201811,3,6600,2,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201811,30,6300,5,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201812,26,7000,3,1986,생산5길 22
대전광역시 대덕구 대화동,229-12,229,12,장미,63.36,201803,26,7200,5,1986,동심5길 16
대전광역시 대덕구 대화동,229-12,229,12,장미,63.36,201805,29,8400,3,1986,동심5길 16
대전광역시 대덕구 대화동,229-12,229,12,장미,62.01,201806,4,6800,1,1986,동심5길 19
대전광역시 대덕구 대화동,229-12,229,12,장미,63.36,201806,20,7500,1,1986,동심5길 16
대전광역시 대덕구 덕암동,62-18,62,18,금성백조,44.02,201804,5,4100,1,1988,덕암로173번길 8
대전광역시 대덕구 덕암동,62-18,62,18,금성백조,44.02,201808,2,4600,1,1988,덕암로173번길 8
대전광역시 대덕구 덕암동,03월 07일,3,7,덕암,41.87,201804,20,6500,9,1998,덕암로265번길 81
대전광역시 대덕구 덕암동,03월 07일,3,7,덕암,41.87,201805,15,5750,3,1998,덕암로265번길 81
대전광역시 대덕구 덕암동,03월 07일,3,7,덕암,41.87,201807,22,6100,9,1998,덕암로265번길 81
