시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201802,1,21000,9,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,62.2475,201802,1,19000,3,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201803,2,21000,10,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,62.2475,201803,11,18500,3,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201803,19,21500,5,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201808,21,22000,10,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,52.9148,201803,26,15500,2,2017,화전산업대로 272-11
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,71.3035,201808,6,22000,5,2017,화전산업대로 272-11
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,71.3035,201809,20,22000,9,2017,화전산업대로 272-11
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,51.8094,201811,10,16200,4,2017,화전산업대로 272-11
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,52.9148,201811,30,15500,3,2017,화전산업대로 272-11
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,71.3035,201812,3,22000,6,2017,화전산업대로 272-11
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,71.3035,201812,3,22000,6,2017,화전산업대로 272-11
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,114.49,201801,15,55000,13,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.99,201801,18,35400,6,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201802,1,47500,10,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201802,5,30900,5,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201802,6,35700,2,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201802,27,40000,2,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,114.49,201803,6,40900,12,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201803,8,28000,2,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201803,10,40500,15,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201803,13,30000,5,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201803,20,28300,11,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201803,23,31000,11,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201803,30,29800,3,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201804,20,34000,4,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201805,3,31500,14,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201805,16,32500,9,2008,명지오션시티2로 71
