날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만)
2017.01.02,2026.16,0.3,-0.01%,227408,2597539
2017.01.03,2043.97,17.81,0.88%,265555,3696146
2017.01.04,2045.64,1.67,0.08%,368593,4009071
2017.01.05,2041.95,3.69,-0.18%,525273,3995652
2017.01.06,2049.12,7.17,0.35%,447985,3362874
2017.01.09,2048.78,0.34,-0.02%,394578,3788135
2017.01.10,2045.12,3.66,-0.18%,506197,3789370
2017.01.11,2075.17,30.05,1.47%,331101,4420141
2017.01.12,2087.14,11.97,0.58%,546476,4646647
2017.01.13,2076.79,10.35,-0.50%,512708,4647376
2017.01.16,2064.17,12.62,-0.61%,676221,4652456
2017.01.17,2071.87,7.7,0.37%,593844,4106414
2017.01.18,2070.54,1.33,-0.06%,523982,3950775
2017.01.19,2072.79,2.25,0.11%,410367,4031275
2017.01.20,2065.61,7.18,-0.35%,386847,3981141
2017.01.23,2065.99,0.38,0.02%,439855,3662759
2017.01.24,2065.76,0.23,-0.01%,308372,3603481
2017.01.25,2066.94,1.18,0.06%,305680,4084440
2017.01.26,2083.59,16.65,0.81%,254645,4260535
2017.01.31,2067.57,16.02,-0.77%,279805,4322656
2017.02.01,2080.48,12.91,0.62%,440567,4362694
2017.02.02,2071.01,9.47,-0.46%,818230,5474217
2017.02.03,2073.16,2.15,0.10%,386038,4647055
2017.02.06,2077.66,4.5,0.22%,311928,3819890
2017.02.07,2075.21,2.45,-0.12%,268792,4018210
2017.02.08,2065.08,10.13,-0.49%,263306,4224494
2017.02.09,2065.88,0.8,0.04%,231288,4158182
2017.02.10,2075.08,9.2,0.45%,309483,4761254
2017.02.13,2078.65,3.57,0.17%,284956,3896740
2017.02.14,2074.57,4.08,-0.20%,327489,4380800
2017.02.15,2083.86,9.29,0.45%,332389,4631680
2017.02.16,2081.84,2.02,-0.10%,324115,4235001
2017.02.17,2080.58,1.26,-0.06%,295874,4265565
2017.02.20,2084.39,3.81,0.18%,294640,3267340
2017.02.21,2102.93,18.54,0.89%,287202,3844521
2017.02.22,2106.61,3.68,0.17%,305328,3947747
2017.02.23,2107.63,1.02,0.05%,417235,4470385
2017.02.24,2094.12,13.51,-0.64%,370839,4872505
2017.02.27,2085.52,8.6,-0.41%,333526,4081679
2017.02.28,2091.64,6.12,0.29%,384438,4931259
2017.03.02,2102.65,11.01,0.53%,421598,6017445
2017.03.03,2078.75,23.9,-1.14%,407598,4968494
2017.03.06,2081.36,2.61,0.13%,392183,4562473
2017.03.07,2094.05,12.69,0.61%,273759,3882570
2017.03.08,2095.41,1.36,0.06%,375183,4378207
2017.03.09,2091.06,4.35,-0.21%,400093,4871564
2017.03.10,2097.35,6.29,0.30%,495183,5472091
2017.03.13,2117.59,20.24,0.97%,377697,4567987
2017.03.14,2133.78,16.19,0.76%,361846,5223872
2017.03.15,2133,0.78,-0.04%,370081,4809634
2017.03.16,2150.08,17.08,0.80%,396164,5000275
2017.03.17,2164.58,14.5,0.67%,297146,4830318
2017.03.20,2157.01,7.57,-0.35%,261686,4015840
2017.03.21,2178.38,21.37,0.99%,299277,5387142
2017.03.22,2168.3,10.08,-0.46%,388457,5455896
2017.03.23,2172.72,4.42,0.20%,352469,5020761
2017.03.24,2168.95,3.77,-0.17%,354061,5045821
2017.03.27,2155.66,13.29,-0.61%,390904,5023054
2017.03.28,2163.31,7.65,0.35%,386739,4940624
2017.03.29,2166.98,3.67,0.17%,621450,5020911
2017.03.30,2164.64,2.34,-0.11%,633510,4307152
2017.03.31,2160.23,4.41,-0.20%,430109,4287424
2017.04.03,2167.51,7.28,0.34%,394348,3912969
2017.04.04,2161.1,6.41,-0.30%,517381,4458294
2017.04.05,2160.85,0.25,-0.01%,565731,4756025
2017.04.06,2152.75,8.1,-0.37%,492446,4053597
2017.04.07,2151.73,1.02,-0.05%,389539,3844501
2017.04.10,2133.32,18.41,-0.86%,498228,3905851
2017.04.11,2123.85,9.47,-0.44%,460270,4015334
2017.04.12,2128.91,5.06,0.24%,405118,3804167
2017.04.13,2148.61,19.7,0.93%,331367,4235180
2017.04.14,2134.88,13.73,-0.64%,343005,3316400
2017.04.17,2145.76,10.88,0.51%,255697,3627597
2017.04.18,2148.46,2.7,0.13%,285827,3825984
2017.04.19,2138.4,10.06,-0.47%,337707,4712842
2017.04.20,2149.15,10.75,0.50%,262011,4913095
2017.04.21,2165.04,15.89,0.74%,274594,4625884
2017.04.24,2173.74,8.7,0.40%,367783,4199089
2017.04.25,2196.85,23.11,1.06%,271584,4773486
2017.04.26,2207.84,10.99,0.50%,392619,5233091
2017.04.27,2209.46,1.62,0.07%,379656,6331458
2017.04.28,2205.44,4.02,-0.18%,263006,5642090
2017.05.02,2219.67,14.23,0.65%,290920,4729256
2017.05.04,2241.24,21.57,0.97%,258349,4558852
2017.05.08,2292.76,51.52,2.30%,277066,6515874
2017.05.10,2270.12,22.64,-0.99%,418074,9246965
2017.05.11,2296.37,26.25,1.16%,452586,7655819
2017.05.12,2286.02,10.35,-0.45%,329620,6322565
2017.05.15,2290.65,4.63,0.20%,248031,4584965
2017.05.16,2295.33,4.68,0.20%,360348,6030190
2017.05.17,2293.08,2.25,-0.10%,390422,5619480
2017.05.18,2286.82,6.26,-0.27%,374307,5830912
2017.05.19,2288.48,1.66,0.07%,415240,5781274
2017.05.22,2304.03,15.55,0.68%,334555,5746823
2017.05.23,2311.74,7.71,0.33%,336770,5523437
2017.05.24,2317.34,5.6,0.24%,380458,5356389
2017.05.25,2342.93,25.59,1.10%,365865,6202405
2017.05.26,2355.3,12.37,0.53%,307992,5997826
2017.05.29,2352.97,2.33,-0.10%,311864,5529637
2017.05.30,2343.68,9.29,-0.39%,504233,5562928
2017.05.31,2347.38,3.7,0.16%,547956,8074174
2017.06.01,2344.61,2.77,-0.12%,331956,5281412
2017.06.02,2371.72,27.11,1.16%,392800,6020076
2017.06.05,2368.62,3.1,-0.13%,322339,5108416
2017.06.07,2360.14,8.48,-0.36%,370971,6019151
2017.06.08,2363.57,3.43,0.15%,406217,8230002
2017.06.09,2381.69,18.12,0.77%,511622,7079217
2017.06.12,2357.87,23.82,-1.00%,324051,5706480
2017.06.13,2374.7,16.83,0.71%,316426,5566940
2017.06.14,2372.64,2.06,-0.09%,386990,6630738
2017.06.15,2361.65,10.99,-0.46%,331182,5782641
2017.06.16,2361.83,0.18,0.01%,323929,5741387
2017.06.19,2370.9,9.07,0.38%,288303,5350251
2017.06.20,2369.23,1.67,-0.07%,346162,6699487
2017.06.21,2357.53,11.7,-0.49%,356210,6342246
2017.06.22,2370.37,12.84,0.54%,292215,6196227
2017.06.23,2378.6,8.23,0.35%,247355,5316663
2017.06.26,2388.66,10.06,0.42%,315035,5106047
2017.06.27,2391.95,3.29,0.14%,289294,5288171
2017.06.28,2382.56,9.39,-0.39%,340622,5792102
2017.06.29,2395.66,13.1,0.55%,433953,5382031
2017.06.30,2391.79,3.87,-0.16%,332846,5006232
2017.07.03,2394.48,2.69,0.11%,298367,4723195
2017.07.04,2380.52,13.96,-0.58%,380024,4753716
