시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201710,1,20500,6,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201710,2,20500,3,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,62.2475,201710,24,19000,5,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,62.2475,201710,25,18800,2,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201710,26,20800,2,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201710,27,21000,11,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,62.2475,201710,30,19000,4,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,62.2475,201711,1,19000,5,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,51.8094,201712,13,16200,3,2017,화전산업대로 272-11
부산광역시 강서구 대저1동,1728-1,1728,1,우창팰리스,65.4,201705,27,27500,7,2017,낙동북로187번길 10
부산광역시 강서구 대저1동,1728-1,1728,1,우창팰리스,65.4,201705,31,27800,8,2017,낙동북로187번길 10
부산광역시 강서구 대저1동,1728-1,1728,1,우창팰리스,65.4,201706,18,27640,8,2017,낙동북로187번길 10
부산광역시 강서구 대저1동,1728-1,1728,1,우창팰리스,65.4,201706,24,27200,7,2017,낙동북로187번길 10
부산광역시 강서구 대저1동,1728-1,1728,1,우창팰리스,65.4,201706,26,26800,6,2017,낙동북로187번길 10
부산광역시 강서구 대저1동,1728-1,1728,1,우창팰리스,65.4,201707,5,27000,6,2017,낙동북로187번길 10
부산광역시 강서구 대저1동,Feb-38,2338,2,태원더블루원,60.7289,201712,8,23594,10,2017,대저로 286
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201701,6,31750,13,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201701,9,44200,11,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201701,14,37300,8,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201701,16,32300,14,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.99,201701,30,31200,7,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201702,1,27300,8,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201702,4,45000,3,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,114.49,201702,4,39900,11,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201702,6,42800,5,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,114.49,201702,22,41000,12,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.99,201703,3,32000,9,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,149.87,201703,8,62500,15,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.99,201703,9,36800,8,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201703,11,31300,12,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201703,17,35400,5,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201703,22,30000,4,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201703,30,34000,5,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.92,201704,3,36800,10,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201704,4,33000,1,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.92,201704,6,36200,7,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201704,12,37000,2,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.92,201704,13,34500,4,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.92,201704,17,35200,7,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201704,22,29000,11,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201704,28,35400,14,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201705,3,29200,13,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.92,201705,6,36000,7,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201705,12,29000,9,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201705,13,45300,7,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201705,13,46000,4,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201705,23,29500,7,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201706,2,36400,12,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201706,2,30800,11,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201706,3,28410,3,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201706,5,31800,7,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201706,5,28000,14,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201706,17,28000,11,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,201706,24,29000,5,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201707,2,46000,3,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201707,12,35300,10,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.92,201707,13,35000,4,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,201707,15,44700,3,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,201707,21,36300,7,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.99,201708,2,32000,2,2008,명지오션시티2로 71
