시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,82.76,201806,6,"28,000",0,22,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201809,9,"25,000",0,20,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,82.76,201810,16,"30,000",0,12,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201811,10,"25,000",0,14,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,82.76,201811,13,"32,000",0,21,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,75.94,201811,18,"30,000",0,8,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201811,25,"24,500",0,24,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,57.92,201811,27,"3,000",90,9,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201811,28,"25,000",0,27,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,57.92,201811,29,"4,000",80,19,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201811,30,"24,800",0,24,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,75.94,201812,1,"26,500",0,4,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201812,6,"24,000",0,22,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201812,8,"24,000",0,20,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,75.94,201812,8,"28,000",0,14,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,57.92,201812,12,"2,000",80,7,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201812,15,"25,000",0,25,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,82.76,201812,15,"30,000",0,25,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,75.94,201812,15,"32,000",0,18,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,57.92,201812,16,"10,000",48,5,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,75.94,201812,17,"29,000",0,6,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,82.76,201812,19,"7,000",90,7,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201812,28,"23,000",0,12,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,82.76,201812,28,"30,000",0,4,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,57.92,201812,29,"23,000",0,10,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,57.92,201812,29,"3,000",80,8,2019,덕수천2로 150
경기도 고양덕양구 동산동,368,368,0,e편한세상 시티 삼송3차,전세,57.92,201805,11,"20,000",0,17,2019,동송로 23-28
경기도 고양덕양구 동산동,369,369,0,이편한세상시티삼송,전세,54.32,201801,6,"24,000",0,22,2018,동송로 33
경기도 고양덕양구 동산동,369,369,0,이편한세상시티삼송,전세,54.32,201801,8,"24,000",0,26,2018,동송로 33
경기도 고양덕양구 동산동,369,369,0,이편한세상시티삼송,전세,54.32,201801,8,"23,000",0,5,2018,동송로 33
