시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201601,5,500,40,7,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,35.91,201601,14,"1,000",40,6,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,29.98,201601,28,"4,500",0,6,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,32.9,201601,30,500,45,11,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,31.76,201602,10,"7,000",0,6,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,47.43,201602,18,"1,000",60,13,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201603,14,"1,000",40,10,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,47.43,201603,15,"1,000",60,14,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,32.9,201603,18,"1,500",30,12,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,31.92,201603,25,"6,600",0,9,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,32.9,201604,8,"1,000",40,8,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201605,9,"1,000",40,5,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,35.91,201605,13,500,50,12,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201605,24,500,45,6,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,47.43,201606,13,"1,500",55,13,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,31.76,201606,23,"5,500",0,11,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,47.48,201608,20,"11,000",0,14,2006,호국로 798
